Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
82,2589,2589.000,5572,20935,30648,46410,68599,82859,117030,141146,207948
83,2652,2652.000,5653,20735,25928,45229,66923,81793,114848,139102,188588
84,2544,2544.000,5412,21428,43286,47219,69302,84940,120493,139992,201507
85,2573,2573.000,5521,21154,45327,46634,68340,83038,117504,135192,182834
86,2701,2701.000,5514,20738,25727,44629,66029,80960,103912,136127,181644
87,2539,2539.000,5364,21318,44040,47028,68463,82987,119650,141146,198169
88,2612,2612.000,5540,21159,40457,45660,66824,80880,110412,137558,213242
89,2602,2602.000,5551,21261,43505,46565,67627,82610,117518,138912,202300
90,2553,2553.000,5492,21298,43740,46859,68374,83373,118205,137923,210772
91,2602,2602.000,5407,21325,43820,46225,66616,81593,116277,141585,203217
92,2601,2601.000,5371,21042,38540,46216,67778,82911,116911,138869,199055
93,2541,2541.000,5611,21119,46678,46977,68641,81695,116641,136746,178532
94,2604,2604.000,5491,20733,44621,46123,66804,82279,116132,138094,214412
95,2665,2665.000,5506,20843,41466,44909,66864,79292,92565,138860,213247
96,2619,2619.000,5489,21129,29401,45678,67207,81768,110530,138153,243219
97,2617,2617.000,5481,21252,26539,45919,68309,81800,112192,137715,177194
98,2693,2693.000,5378,20685,26959,44772,66193,80573,100940,134429,179749
99,2581,2581.000,5604,20977,46461,46364,68048,81900,107516,137789,191670
100,2587,2587.000,5521,21013,44161,46562,67512,82983,118383,137617,184563
101,2602,2602.000,5618,20906,44383,46030,67358,81567,112620,138587,207036
102,2703,2703.000,5423,20539,25023,44342,64618,79635,105946,138904,213823
103,2643,2643.000,5508,20686,38289,45347,67413,80355,103568,137215,239314
104,2688,2688.000,5540,20753,40526,44979,66574,80279,99516,138207,193550
105,2613,2613.000,5556,21053,43329,45619,67115,80057,106559,136647,182488
106,2661,2661.000,5496,20229,43139,45144,67470,80505,104809,134352,173226
107,2619,2619.000,5434,20146,44803,45779,67630,80449,116353,138743,192978
108,2654,2654.000,5529,20410,25729,45203,67021,80634,114432,133861,216309
109,2655,2655.000,5459,20485,36065,45019,66518,80317,105077,134047,184907
110,2669,2669.000,5494,20088,44836,45308,66662,79557,109678,137724,177247
111,2607,2607.000,5437,20222,43689,45725,66747,81128,118006,136319,232494
112,2690,2690.000,5465,20429,41374,44627,65422,79994,104567,136677,186263
113,2687,2687.000,5457,20299,33145,44541,65690,79684,99627,134159,205057
114,2678,2678.000,5486,20247,42635,44858,66470,79368,101779,136915,185230
115,2657,2657.000,5436,20209,42480,45119,66689,80818,114548,136475,207419
116,2669,2669.000,5335,20295,40448,45099,66658,80454,110061,135230,189262
117,2651,2651.000,5365,20233,30864,45201,66897,80946,105574,139902,201426
118,2630,2630.000,5299,20247,45450,45777,66773,80705,109793,136795,218152
119,2675,2675.000,5337,20304,26367,44737,67238,80217,101329,134935,177568
120,2666,2666.000,5454,20743,42582,44942,66469,80372,99955,136037,203165
121,2613,2613.000,5519,20378,43027,45851,68014,80945,117400,140023,194222
122,2631,2631.000,5356,20526,44335,45860,67623,80918,115045,137738,181312
123,2598,2598.000,5520,20456,44146,45901,67267,81878,115201,139014,203154
124,2684,2684.000,5392,20679,25499,44879,66085,81479,111595,138248,203993
125,2605,2605.000,5402,20277,45482,46210,67823,81769,118546,138092,235946
126,2675,2675.000,5425,20341,26535,44599,66578,80044,98755,137800,178533
127,2737,2737.000,5380,20115,23393,43833,66622,80056,107830,134808,211995
128,2616,2616.000,5581,20359,44946,46003,67483,80808,113305,137186,185080
129,2634,2634.000,5486,20693,35217,45363,66432,80388,115000,136613,193685
130,2610,2610.000,5479,20724,44800,46142,67346,81484,115635,141778,192468
131,2634,2634.000,5606,20756,40817,45396,66877,80371,112870,136411,215160
132,2658,2658.000,5514,20901,44612,45158,66188,79955,98853,137179,215991
133,2678,2678.000,5419,20332,28816,44892,67301,79959,102880,135913,184354
134,2652,2652.000,5470,20189,33023,45134,67020,80605,106790,136355,189258
135,2659,2659.000,5362,20192,42784,45349,66269,80785,107137,136990,254791
136,2705,2705.000,5511,20275,39004,44259,65308,79635,96911,137657,200796
137,2588,2588.000,5400,20480,46436,46518,67684,82494,117437,137761,198619
138,2696,2696.000,5501,20060,40017,44396,66146,79061,94453,137182,198828
139,2590,2590.000,5403,20211,46045,46185,67685,81219,115248,136550,193210
140,2672,2672.000,5403,20361,24669,44915,66465,80811,115894,136699,195829
141,2598,2598.000,5501,20940,44760,46424,68697,82142,107479,140185,206452
142,2511,2511.000,5552,21167,45644,47520,69633,83199,115835,140816,199323
143,2738,2738.000,5504,20674,24052,43840,66472,80263,93166,135985,191713
144,2548,2548.000,5523,20800,46898,47067,68000,82639,119358,144837,195947
